event,leg,team,name,year,splitStr,splitTime,startPlace,endPlace
"CM 10,000m",25,Evan Brennan,Unknown,2022,1:01.74,61.738000000000056,2,1
CM 1500m,1,Chris Weeks,Unknown,2022,42.91,42.907,N/A,1
CM 3000m SC,1,Scott Johnson,Unknown,2022,37.48,37.476,N/A,1
CM 4x400,3,Houston,Unknown,2018,43.38,43.374000000000024,1,1
CM 4x800,3,Mississippi State,Unknown,2018,1:46.00,105.99099999999999,5,1
CM 4xMile,2,Indiana,Kyle Mau,2022,3:59.91,239.90200000000002,11,8
CM 5000m,1,Luke Johnson,Unknown,2022,31.15,31.142,N/A,1
CM DMR (Leg 1),1,Wisconsin,Adam Spencer,2022,2:54.49,174.49,N/A,1
CM DMR (Leg 2),2,Oregon,Unknown,2017,45.58,45.577,5,1
CM DMR (Leg 3),3,Georgetown,Unknown,2017,1:46.24,106.23500000000001,3,1
CM DMR (Leg 4),4,Columbia,Unknown,2017,3:57.19,237.18399999999997,11,6
CM SMR (Leg 1),1,Indiana,Antonio Laidler,2022,1:28.19,88.188,N/A,1
CM SMR (Leg 2),2,Georgetown,D'Andre Barriffe,2019,1:46.45,106.44200000000001,3,1
CORP DMR (Leg 1),1,Merck,Curtis Watro,2019,3:19.86,199.851,N/A,1
CORP DMR (Leg 2),2,Merck A,Elizabeth Chikotas,2022,1:01.69,61.68900000000002,2,2
CORP DMR (Leg 3),3,On AG,Steve  DeKoker,2022,2:10.06,130.05400000000003,1,1
CORP DMR (Leg 4),4,Vanguard A,Steven Thompson,2022,4:22.43,262.43,5,4
"CW 10,000m",25,Andrea Kuhn,Unknown,2022,1:11.87,71.86899999999969,5,5
CW 1500m,1,Nikhila Obbineni,Unknown,2022,50.37,50.37,N/A,1
CW 3000m SC,1,Sasha Neglia,Unknown,2022,44.20,44.192,N/A,1
CW 4x400,2,Ohio State,Yanique Dayle,2022,50.54,50.533,3,2
CW 4x800,4,Monmouth,Allie Wilson,2019,2:02.29,122.29000000000002,5,3
CW 5000m,1,Maggie Maier,Unknown,2022,37.23,37.227,N/A,1
CW DMR (Leg 1),1,BYU,Lauren Ellsworth,2022,3:18.22,198.22,N/A,1
CW DMR (Leg 2),2,Penn,Uchechi Nwogwugwu,2019,52.22,52.214,1,1
CW DMR (Leg 3),3,Temple,Unknown,2017,2:10.31,0,19,2
CW DMR (Leg 4),4,Notre Dame,Jessica Harris,2019,4:28.77,268.766,9,2
CW SMR (Leg 1),1,Penn State,Kiara Lester,2019,1:40.54,100.538,N/A,1
CW SMR (Leg 2),2,George Mason,KellyAnn Downer,2019,2:04.37,124.363,3,2
CW SMR (Leg 3),3,Temple,Marissa  White,2022,0.34,-128.654,3,1
HSB 3000m,1,Rusty Kujdych,Unknown,2018,31.74,31.735,N/A,1
HSB 4x400,3,Walter Johnson,Unknown,2017,42.43,42.42100000000002,14,14
HSB 4x800,2,Jamaica College (JAM),Handal Roban,2022,1:48.12,108.11200000000001,1,1
